daily,time,st10,mp10,st20,mp20,st30,mp30,st60,mp60,st100,mp100,st150,mp150,eh10a,eh10b,eh10c,eh20a,eh20b,eh20c,eh30a,eh30b,eh30c,eh60a,eh60b,eh60c,eh100a,eh100b,eh100c,eh150a,eh150b,eh150c,wd,ws,at,rh,ap,pp,sr,wt,ec,bat,lt,wt_2,year,month,day,hour
2012-01-12,15636.5,6.39125,0,6.35875,0,6.418333333333333,0,6.185416666666667,0,7.045833333333333,0,7.585416666666666,0,588.7475,624.1875,470.2575,655.24875,559.0729166666666,710.7695833333333,335.37125,468.8695833333333,223.57041666666666,148.54541666666665,-257.06083333333333,-134.085,130.05041666666668,198.6525,205.69708333333332,-187.58083333333335,-193.82291666666669,-159.6,273.0833333333333,7.095833333333333,7.0625,86.58333333333333,1013.5458333333333,71.2325,9.191466541666667,172.87904166666667,0.37218358333333335,11.7455,7.4875,-27.120958333333334,2012,1,12,11.5
2012-01-13,15660.5,5.520833333333333,0,6.015833333333333,0,6.280833333333334,0,6.24625,0,7.065416666666667,0,7.564166666666667,0,590.045,628.2308333333333,534.8691666666666,663.63125,615.3775,712.9654166666667,333.3458333333333,470.6020833333333,214.8375,143.92708333333334,-262.31291666666664,-137.72291666666666,130.17625,202.40375,214.56583333333333,-185.325,-188.98708333333335,-154.15291666666667,322.6666666666667,5.125,5.095833333333333,78.43333333333334,1017.2083333333334,76.03333333333333,20.7128339875,173.05554166666667,0.3738605,11.772499999999999,5.085,-26.944458333333333,2012,1,13,11.5
2012-01-14,15684.5,4.871666666666666,0,5.5808333333333335,0,5.92125,0,6.168333333333333,0,7.0720833333333335,0,7.5633333333333335,0,591.1891666666667,630.9629166666667,560.2695833333333,669.3033333333333,641.6041666666666,713.2675,331.46166666666664,477.25875,212.08125,143.26083333333332,-264.05291666666665,-138.27416666666667,124.75750000000001,197.16625,212.56583333333333,-190.93291666666667,-192.4225,-162.68416666666667,260.7083333333333,1.8041666666666667,3.029166666666667,85.50416666666666,1024.175,77.24,37.5394335,171.3335,0.374894125,11.787875,3.88375,-28.6665,2012,1,14,11.5
2012-01-15,15708.5,3.305833333333333,0,4.8429166666666665,0,5.39875,0,5.99875,0,7.046666666666667,0,7.549166666666666,0,593.02375,639.8870833333333,584.265,681.3758333333333,663.4449999999999,722.1020833333333,344.0725,499.4225,221.34375,144.95708333333334,-265.42291666666665,-139.76625,126.75208333333333,200.49291666666667,220.56625,-188.70708333333334,-189.25458333333333,-165.61333333333334,269.375,0.6958333333333333,1.0333333333333332,90.24583333333334,1026.475,77.24833333333333,36.193677,169.64883333333333,0.37642291666666666,11.73025,1.3025000000000002,-30.351166666666668,2012,1,15,11.5
2012-01-16,15732.5,3.3691666666666666,0,4.3525,0,4.834583333333334,0,5.69125,0,6.96125,0,7.5225,0,589.6545833333333,637.0033333333333,563.0929166666667,682.8958333333334,673.2883333333333,721.6620833333334,443.88166666666666,561.62375,230.31333333333333,147.01541666666665,-262.7675,-138.32958333333335,166.82916666666665,195.88791666666665,215.9025,-192.59833333333333,-193.61374999999998,-168.9975,297.0833333333333,1.1458333333333333,3.5208333333333335,90.06666666666666,1026.9125,77.25791666666667,4.271882095833333,168.54966666666667,0.37762866666666667,11.655875,3.43375,-31.450333333333333,2012,1,16,11.5
2012-01-17,15756.5,4.127916666666667,0,4.589583333333334,0,4.900416666666667,0,5.480416666666667,0,6.836666666666667,0,7.486666666666666,0,586.8254166666667,631.1166666666667,539.0454166666667,675.1441666666667,675.8645833333334,716.7966666666666,516.3541666666666,598.7570833333333,236.99291666666667,146.2275,-261.63875,-138.49583333333334,144.96708333333333,206.26083333333332,223.74333333333334,-182.47458333333333,-182.73791666666668,-155.87875,272.75,2.5083333333333333,4.654166666666667,88.275,1026.9708333333333,77.27,27.76953825,167.92454166666667,0.37897220833333334,11.74825,5.43625,-32.07545833333334,2012,1,17,11.5
2012-01-18,15780.5,4.068333333333333,0,4.737916666666667,0,5.025833333333333,0,5.420416666666667,0,6.733333333333333,0,7.42125,0,586.5270833333334,632.95125,557.9808333333333,674.8612499999999,684.66625,718.7775,563.3070833333334,615.1091666666666,249.27875,144.19416666666666,-264.21666666666664,-140.55208333333334,146.16416666666666,214.03833333333333,232.60791666666665,-175.40375,-175.30625,-152.29916666666668,222.33333333333334,4.725,3.245833333333333,91.59583333333333,1021.1208333333334,78.04958333333333,14.873559833333333,169.06804166666666,0.38106875,11.742375,3.36,-30.931958333333334,2012,1,18,11.5
2012-01-19,15804.5,4.515416666666667,0,4.817083333333334,0,5.065833333333333,0,5.386666666666667,0,6.644166666666667,0,7.35625,0,585.12125,628.3558333333333,529.8391666666666,667.7845833333333,685.17,716.4391666666667,573.73875,619.1395833333333,262.9741666666667,145.86708333333334,-260.88375,-138.14458333333334,138.25833333333333,206.38583333333332,222.13666666666666,-182.66625,-182.4475,-158.01333333333335,260,4.825,5.254166666666666,91.02083333333333,1009.25,81.88416666666666,12.304569491666665,172.56745833333335,0.38362083333333336,11.70175,5.2924999999999995,-27.432541666666665,2012,1,19,11.5
2012-01-20,15828.5,4.349166666666667,0,4.845416666666667,0,5.110416666666667,0,5.382916666666667,0,6.574166666666667,0,7.2941666666666665,0,588.0245833333333,632.9525,558.22375,669.1908333333333,691.5254166666666,721.5029166666667,541.76,615.9666666666667,266.57708333333335,148.45041666666665,-261.4195833333333,-138.8225,133.795,202.75291666666666,220.19125,-183.81666666666666,-186.22666666666666,-169.09208333333333,281.4166666666667,3.658333333333333,3.5375,89.0375,1005.6291666666667,85.6575,28.17114175,176.10479166666667,0.38534720833333336,11.750444444444444,4.693333333333333,-23.895208333333333,2012,1,20,11.5
2012-01-21,15852.5,4.139166666666666,0,4.692083333333334,0,5.0095833333333335,0,5.351666666666667,0,6.529583333333333,0,7.235,0,585.965,632.7625,562.025,668.8829166666667,691.1041666666666,720.6425,498.7675,606.1395833333333,256.22,147.67333333333335,-263.37333333333333,-140.52708333333334,143.23083333333332,213.99875,233.585,-174.95083333333335,-174.97875,-158.60208333333333,257.25,4.825,4.229166666666667,90.10416666666667,999.1291666666666,89.54458333333334,16.52722175,178.13929166666668,0.38654608333333335,11.701,4.1725,-21.860708333333335,2012,1,21,11.5
